	A427	A549	Detroit562	FaDu	H1299	H1395	H1703	H2126	H2170	H2228	H358	H441	H520	H522	H596	HCC827	KYSE30	OE21	PC9	SCC15	SCC25	SKMES1	SW900
?|100130426	0	0	0	0	1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09	0	0	0
?|100133144	84.84	39.35	8.45	5.43	39.98	65.59	49.5	17.04	35.91	58.14	150.18	23.88	31.38	96.68	11.83	33.94	10.94	12.62	22.17	6.51	6.98	19.89	9.86
?|100134869	226.16	62.65	41.55	22.57	60.02	80.41	74.5	48.96	51.09	56.86	223.82	45.12	44.62	142.32	5.17	55.06	32.06	35.38	37.83	8.49	12.02	49.11	45.14
?|10357	41.82	43.26	108.34	185.34	40.66	17.84	42.83	53.56	103.37	34	106.36	13.85	134	63.79	107.18	30.64	229.06	122.93	22.54	71.66	163.13	351.24	28
?|10431	924	1972	775	2444	1753	1397	1473	1151	2598	2923	1374	793	2947	1572	2224	1781	3914	2203	1720	1179	3770	3041	1407
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	3373	524	157	76	546	353	904	923	703	352	1111	863	113	1031	171	476	125	186	466	82	113	253	494
?|26823	2	1	0	0	1	0	0	3	0	1	11	1	0	7	1	1	2	0	1	0	0	0	0
?|280660	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|340602	0	0	0	0	1	0	0	55	0	2	0	0	0	31	0	0	0	0	1	0	0	822	0
?|388795	20	0	0	1	3	0	0	3	0	0	0	1	3	3	0	2	1	0	1	0	0	0	3
?|390284	9	3	6	4	9	13	7	4	12	27	24	15	7	2	7	4	3	2	14	2	3	6	8
?|391343	1	0	0	0	1	127	0	0	0	0	1	0	0	0	0	2	0	0	0	0	70	0	0
?|391714	0	0	0	0	0	0	0	3	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0
?|404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
?|553137	0	48	0	0	0	0	162	1	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0
?|57714	3933	5763	1870	1210	1008	1042	2711	3442	3502	1337	5706	2192	1180	3026	2822	1973	855	1317	1248	1007	1378	6578	4758
?|645851	172	100	10	14	107	251	72	334	215	87	395	150	102	199	5	125	28	53	78	6	23	19	61
?|652919	61.04	114.48	0	20.96	22	67.19	24.04	112.13	239.54	0	97.73	95.64	4.07	56.16	0	124.39	20	0	63	2	36.69	96.21	63.11
?|653553	13	13	72	40	9	1	9	1	1	6	12	5	16	9	440	14	73	71	1	129	93	225	4
?|728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728603	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
?|728788	1	8	0	0	6	0	4	0	0	7	2	0	0	1	0	1	0	0	0	0	0	2	0
?|729884	0	0	12	14	0	17	0	348	23	0	4533	289	2	1	5	2097	1971	1110	58	8	155	2	68
?|8225	2854	1287	332	314	1159	499	1085	864	1203	900	1650	555	490	1399	633	1638	375	646	801	914	774	2081	797
?|90288	21	18	6	2	11	1	60	10	1	9	22	32	5	19	9	9	0	3	3	7	0	4	8
A1BG|1	369.13	99.13	3.24	3	135.4	16	66.34	7	1	104.54	42.6	36.64	52.81	155.5	87.37	114.88	3.16	2	44.64	37.08	53.66	365.81	77.01
A1CF|29974	1	3	0	0	0	97	467	1	1	0	1	1	1	1	1	2	0	0	1	0	1	1	2
A2BP1|54715	0	0	0	0	0	0	0	3	0	1	8	0	0	0	0	0	0	8	3	0	0	9	0
A2LD1|87769	177.19	102.38	93.28	130.67	47.73	251.77	136.64	246.99	154.24	78.53	254.53	111.74	85.62	30.13	120.4	88.1	465.11	79.59	40.45	42.25	43.73	340.52	51.22
A2ML1|144568	0	0	3	0	0	3	0	7	1	0	0	1	0	2	0	0	75	674	3453	14	1	0	0
A2M|2	0	1	0	0	1	0	0	244	0	0	0	1	2	0	0	0	0	0	2	0	4	1	1
A4GALT|53947	533	579	1725	460	260	0	942	816	62	442	4281	1357	716	403	4157	404	412	708	372	531	1778	1628	415
A4GNT|51146	23	28	0	0	7	6	36	0	0	4	1	0	0	8	0	0	0	2	2	0	0	3	1
AAA1|404744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0
AAAS|8086	3696	2511	1280	821	1496	1553	2689	2539	1674	1923	2814	1127	2565	2041	1477	1176	1772	1311	1198	785	1654	3142	1361
AACSL|729522	0	26	3	0	189	48	27	5	2	206	712	0	3	0	0	1	0	6	46	9	0	12	2
AACS|65985	1847	1080	776	2172	802	6145	778	1038	1626	811	3270	1375	1283	1057	925	2923	1967	1164	1015	784	1296	2651	1917
AADACL2|344752	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
AADACL3|126767	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
AADACL4|343066	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AADAC|13	1	263	3	9	0	0	224	0	2	0	0	0	1	5	65	0	18	2	114	0	34	173	85
AADAT|51166	376	656	193	116	462	117	448	104	604	438	2055	747	464	1170	8	305	239	399	321	170	206	1100	247
AAGAB|79719	3569	6299	3439	2686	4832	5175	4082	3867	2883	6688	7332	2057	3976	4321	3098	3394	5161	3956	3897	2464	3098	8827	2325
AAK1|22848	6154	5028	2087	1176	5765	7420	3685	7316	2489	5482	11878	4338	2418	5069	5849	6006	4882	2602	4272	3564	3187	12366	5769
AAMP|14	4679	4196	2568	2873	4245	3528	3545	4125	5026	3583	8511	3371	4507	4961	2256	5153	5048	2670	4209	2437	2809	7717	3146
AANAT|15	3	8	1	0	2	0	2	1	0	3	4	0	7	10	1	4	3	3	2	1	0	3	1
AARS2|57505	1137	988.97	880	771	1822.89	4131.91	665	1077	1155.85	2221.85	3445.98	1204.96	1516.9	1746	1653.96	1161	1187.95	887	1004	430.98	1183.98	1494.97	1029.9
AARSD1|80755	861	1612	258	615	982	1299	790	1310	1722	1061	1873	627	985	1726	453	1450	938	766	679	332	703	2105	701
AARS|16	16102	13984	19460	7118	10407	16830	14615	8303	15924	11590	41789	17650	11472	9761	10003	16671	10466	8190	7460	12441	8101	29166	10476
AASDHPPT|60496	1637	1704	1095.94	1273.98	2191	1196.97	1543	2495	2577.96	2340	3545	1564	1978.94	3863	2004	2977	2842	1486	1111	535	2168	4265.92	1512.94
AASDH|132949	772	550	1062	379	442	529	390	831	846	482	2793	712	331	633	561	1088	573	162	454	361	592	1274	481
AASS|10157	1164	32	2150	435	3642	219	21	29	805	3341	2864	470	523	47	12	329	91	543	872	242	561	1049	1259
AATF|26574	7579	12572	1405	4654	3559	3113	5442	4326	4727	4165	9645	4798	10798	8347	3738	11077	9148	5710	5347	2553	4347	13864	3714
AATK|9625	1898	33	41	11	66	16	51	57.07	43	104	199.17	4	45	1256	27	85	14	18	17.02	8	38	17	81
ABAT|18	563	24	555	18	29	5	51	981	77	51	222	10	48	432	1544	115	2397	848	482	172	60	55	74
ABCA10|10349	0	4	67	2	34	13	0	0	2	16	33	2	1	0	40	0	7	13	11	63	136	334	11
ABCA11P|79963	345.33	74.59	75.87	56.05	338.93	80.31	57.46	59.64	226.41	204.79	640.92	265.25	94.86	304.16	107.88	376.64	275.04	185.54	116.8	58.43	59.84	202.43	285.75
ABCA12|26154	4	113	479	148	1	7994	201	765	328	4	1989	20	3	1	575	1378	1120	967	245	155	90	1	276
ABCA13|154664	1	3	613	7	0	1	0	1	21	4	393	86	1	2	1	208	10	2485	11	428	2616	432	842
ABCA17P|650655	22	12	1	1	27	7	11	16	1	7	37	4	7	63	40	11	2	2	33	4	2	5	6
ABCA1|19	0	2146.71	1177.9	31	5206.81	210.9	300.96	696.82	78	934.74	5475.41	1063.87	52	2399.24	1731.98	9848.47	1747.97	5351.76	2307.79	1194.98	16649.47	8829.25	1248.9
ABCA2|20	13393	2924	2022	414	1770	8029	2330	3346	2512	1469	16425	1335	797	2935	2689	3001	3743	1044	3215	262	1591	4392	2297
ABCA3|21	8928	3334	180	105	7403	14574	2412	314	17	4844	482	843	7260	9508	1771	1939	106	16	1621	11	5	51	1253
ABCA4|24	0	2	38	0	2	0	3	8	264	0	456	819	2	8	2	20	4	20	282	5	40	8	132
ABCA5|23461	483	337	512	38	183	931	242	302	141	56	275	328	88	25	266	248	329	155	75	85	217	460	290
ABCA6|23460	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	9	6	3	1
ABCA7|10347	2108	766	579	152	794	1049	749	819	826	908	3389	2422	842	2073	560	1121	891	271	755	95	335	872	2316
ABCA8|10351	14	1	0	0	0	24	2	0	0	0	1	0	0	0	1	0	0	0	0	4	30	215	0
ABCA9|10350	1	0	7	1	2	1	0	0	10	0	0	1	0	0	2	0	4	9	0	0	2	2	3
ABCB10|23456	1101	1365	572	539	1133	2134	916	1099	3144	695	868	846	1954	2732	986	1242	2082	982	906	320	2174	3198	1230
ABCB11|8647	7	1	63	0	0	1	1	2	24	0	52	56	0	1	13	4	3	2	2	0	1	54	0
ABCB1|5243	0	6	4	78	1181	1973	100	2	26	930	3	1	4	0	81	425	2	46	245	11	3	583	15
ABCB4|5244	0	1	20	1	18	53	1	61	28	6	6	1	88	0	7	9	0	0	4	2	5	51	46
ABCB5|340273	0	2	14	0	1	3	78	0	0	0	29	0	0	2	0	0	1	58	0	1	0	0	1
ABCB6|10058	184.7	2280.16	1729.38	1294.51	1019.93	2442.23	1955.97	4412.35	2781.22	757.28	2285.44	494.68	1907.8	320.46	1752.16	997.41	703.52	5675.94	1309.49	923.26	124.18	2682.04	721.48
ABCB7|22	1405	1106	691	418	1411	1249	1100	1560	1822	2059	2160	1536	2044	2711	903	2739	1405	1118	876	721	1430	4431	515
ABCB8|11194	2702	1937	519	496	2193	2259	1848	3228	1113	1624	1201	1416	510	2100	1414	1298	1192	712	1671	751	1178	1817	1795
ABCB9|23457	618.85	308.43	365.59	417.99	714.97	884.38	192.24	238.3	120.85	232.52	1601.74	776.35	437.04	532.54	502.27	478.73	677.24	622.01	385.81	324.97	491.4	574.82	387.19
ABCC10|89845	1704	440	1849	228	2466	1602	410	737	1061	1422	3000	712	585	1884	2454	1047	1092	908	1088	874	1259	1277	1191
ABCC11|85320	3	3	0	1	4	28	4	56	14	4	38	1	5	6	16	3	4	7	6	4	11	20	2
ABCC12|94160	0	2	0	0	0	1	0	0	0	1	45	0	2	0	0	2	0	0	0	1	0	3	2
ABCC13|150000	0	0	2	0	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	3	0
ABCC1|4363	9778	21811	10023	3400	4380	3669	25677	4215	11591	3154	12187	5124	12469	14586	15652	6204	8210	24734	11904	3917	15351	5822	6549
ABCC2|1244	1	13477	19	25	146	13471	19080	8448	2523	78	146	44	8327	62	582	1779	458	362	6789	31	63	90	178
ABCC3|8714	1	16662	7611	467	345	1614	25270	33051	9240	207	6628	8046	225	8	2452	6978	1559	8276	6130	1856	1852	18653	13708
ABCC4|10257	2615	6723	1747	328	7003	11537	5956	548	5298	4740	9185	2014	3005	2371	1736	6310	2958	4525	2915	2853	4812	7127	3272
ABCC5|10057	8527	1188	1487	442	5754	2331	821	4255	3852	2678	3388	2120	6177	5566	2912	3321	2790	6415	5710	793	7283	1796	1252
ABCC6P1|653190	0	3	24	0	7	15	14	5	2	25	5	12	4	8	10	77	0	0	2	0	1	3	4
ABCC6P2|730013	2	16	60	10	22	96	49	7	5	15	15	8	36	68	81	37	3	1	10	8	4	36	42
ABCC6|368	14	16	50	9	15	134	159	36	9	40	24	33	36	63	38	152	4	3	9	9	8	10	73
ABCC8|6833	0	60	0	1	1	165	57	0	0	1	0	0	90	311	0	1	0	0	0	3	0	0	3
ABCC9|10060	17	1	0	3	1	2	2	3	2	7	33	241	0	5	3	1064	1	769	7	473	1840	1448	873
ABCD1|215	2317	376	1281	137	1172	1415	247	4074	295	537	1204	202	324	2761	2819	250	729	134	1833	330	2035	3170	254
ABCD2|225	103	0	4	0	387	23	0	0	0	384	14	2	0	6	1	0	2	3	75	4	0	27	3
ABCD3|5825	2167	3254	1397	3026	2702	8321	2964	3381	4008	2131	7089	2253	2582	3575	3617	7554	5325	2198	3423	889	10230	9397	2640
ABCD4|5826	853	1102	845	1169	1852	777	876	1302	749	1477	2582	749	1376	985	783	1379	814	835	1433	798	1017	1103	1010
ABCE1|6059	7677	9605	6009	7088	7364	5300	5356	9199	19271	6863	19547	7516	6971	10574	5328	13762	10801	5705	7378	3205	10103	17515	4588
ABCF1|23	8082	5695	4317	5078	10265	7723	3824	6764	6169	10658	12434	5999	5380	11762	6752	6919	9236	3173	7680	4525	5539	9006	4830
ABCF2|10061	4548	5654	1978	5299	5442	3248	3764	5423	8198	4364	4317	4235	3355	7826	3567	6996	8122	2632	4363	2674	3331	10899	4363
ABCF3|55324	4795	1578	1987	1305	2059	2228	1259	2795	1849	1929	2775	2624	4205	3587	3606	2601	4801	1838	2510	2222	2657	3894	1599
ABCG1|9619	229	114	986	23	188	715	32	1675	1	7	9	0	110	998	785	0	6	915	48	19	0	32	186
ABCG2|9429	8	2460	42	32	159	1964	2958	8406	3326	133	1108	1912	8	11	6806	698	739	698	2079	158	856	3121	1036
ABCG4|64137	278	38	8	2	11	14	17	4	1	22	4	0	0	69	3	1	1	1	2	7	10	11	6
ABCG5|64240	2	3	0	1	0	236	1	0	0	0	0	1	0	6	0	1	0	1	1	1	3	1	1
ABCG8|64241	0	0	0	0	0	143	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10|55347	3032	1680	1448	871	1391	1852	1304	1409	1435	1047	2556	1608	1127	982	2284	2233	1834	981	2020	847	917	4170	1463
ABHD11|83451	614	584	532	380	807	672	456	1367	1866	857	2174	1409	479	1051	992	2027	1020	1262	972	402	281	2025	1521
ABHD12B|145447	12	20	4	5	21	4	9	19	3	12	50	6	1811	64	12	34	33	23	10	9	27	6	5
