"TCGA-02-0001-01C-01R-0179-07" "TCGA-02-0003-01A-01R-0179-07" "TCGA-02-0006-01B-01R-0179-07" "TCGA-02-0007-01A-01R-0179-07" "TCGA-02-0009-01A-01R-0179-07" "TCGA-02-0010-01A-01R-0179-07" "TCGA-02-0011-01B-01R-0179-07" "TCGA-02-0014-01A-01R-0179-07" "TCGA-02-0021-01A-01R-0179-07" "TCGA-02-0024-01B-01R-0179-07" "TCGA-02-0027-01A-01R-0179-07" "TCGA-02-0028-01A-01R-0179-07" "TCGA-02-0033-01A-01R-0179-07" "TCGA-02-0034-01A-01R-0179-07" "TCGA-02-0037-01A-01R-0179-07" "TCGA-02-0038-01A-01R-0179-07" "TCGA-02-0043-01A-01R-0179-07" "TCGA-02-0047-01A-01R-0179-07" "TCGA-02-0052-01A-01R-0179-07" "TCGA-02-0054-01A-01R-0179-07" "TCGA-02-0055-01A-01R-0179-07" "TCGA-02-0057-01A-01R-0179-07" "TCGA-02-0058-01A-01R-0179-07" "TCGA-02-0060-01A-01R-0179-07" "TCGA-02-0064-01A-01R-0195-07" "TCGA-02-0069-01A-01R-0195-07" "TCGA-02-0071-01A-01R-0195-07" "TCGA-02-0074-01A-01R-0195-07" "TCGA-02-0075-01A-01R-0195-07" "TCGA-02-0080-01A-01R-0195-07" "TCGA-02-0083-01A-01R-0195-07" "TCGA-02-0085-01A-01R-0195-07" "TCGA-02-0086-01A-01R-0195-07" "TCGA-02-0089-01A-01R-0195-07" "TCGA-02-0099-01A-01R-0195-07" "TCGA-02-0102-01A-01R-0195-07" "TCGA-02-0107-01A-01R-0195-07" "TCGA-02-0113-01A-01R-0195-07" "TCGA-02-0114-01A-01R-0195-07" "TCGA-02-0115-01A-01R-0195-07" "TCGA-02-0116-01A-01R-0195-07" "TCGA-06-0122-01A-01R-0213-07" "TCGA-06-0124-01A-01R-0213-07" "TCGA-06-0125-01A-01R-0213-07" "TCGA-06-0126-01A-01R-0213-07" "TCGA-06-0128-01A-01R-0213-07" "TCGA-06-0129-01A-01R-0213-07" "TCGA-06-0130-01A-01R-0213-07" "TCGA-06-0133-01A-02R-0213-07" "TCGA-06-0137-01B-02R-0213-07" "TCGA-06-0138-01A-02R-0229-07" "TCGA-06-0139-01A-01R-0213-07" "TCGA-06-0140-01A-01R-0213-07" "TCGA-06-0141-01A-01R-0213-07" "TCGA-06-0142-01A-01R-0213-07" "TCGA-06-0143-01A-01R-0213-07" "TCGA-06-0145-01A-06R-0213-07" "TCGA-06-0147-01A-02R-0229-07" "TCGA-06-0150-01A-01R-0229-07" "TCGA-06-0151-01A-01R-0229-07" "TCGA-06-0154-01A-03R-0229-07" "TCGA-06-0156-01A-03R-0229-07" "TCGA-06-0157-01A-01R-0229-07" "TCGA-06-0158-01A-01R-0229-07" "TCGA-06-0159-01A-01R-0229-07" "TCGA-06-0160-01A-01R-0229-07" "TCGA-06-0166-01A-01R-0229-07" "TCGA-06-0168-01A-02R-0229-07" "TCGA-06-0169-01A-01R-0213-07" "TCGA-06-0171-01A-02R-0229-07" "TCGA-06-0173-01A-01R-0229-07" "TCGA-06-0174-01A-01R-0229-07" "TCGA-06-0176-01A-03R-0229-07" "TCGA-06-0178-01A-01R-0229-07" "TCGA-06-0184-01A-01R-0229-07" "TCGA-06-0185-01A-01R-0229-07" "TCGA-06-0187-01A-01R-0229-07" "TCGA-06-0188-01A-01R-0229-07" "TCGA-06-0189-01A-05R-0229-07" "TCGA-06-0190-01A-01R-0229-07" "TCGA-06-0195-01B-01R-0229-07" "TCGA-06-0197-01A-02R-0229-07" "TCGA-06-0208-01B-01R-0229-07" "TCGA-06-0210-01B-01R-0229-07" "TCGA-06-0211-01B-01R-0229-07" "TCGA-06-0213-01A-01R-0229-07" "TCGA-06-0214-01A-02R-0229-07" "TCGA-06-0216-01A-01R-0229-07" "TCGA-06-0219-01A-01R-0229-07" "TCGA-06-0221-01A-01R-0229-07" "TCGA-06-0237-01A-02R-0229-07" "TCGA-06-0240-01A-02R-0229-07" "TCGA-06-0241-01A-02R-0229-07" "TCGA-02-0004-01A-01R-0300-07" "TCGA-02-0015-01A-01R-0300-07" "TCGA-02-0016-01A-01R-0300-07" "TCGA-02-0023-01B-01R-0300-07" "TCGA-02-0025-01A-01R-0300-07" "TCGA-02-0026-01B-01R-0300-07" "TCGA-02-0039-01A-01R-0300-07"
"CCK" 433 119 1 14 0 78 2 24 0 146 3 1 1 26 0 3 0 96 20 95 60 2 298 187 1 60 8 1 4 1 423 1086 0 685 11 41 48 12 1 694 23 32 13 5 71 25 3 1 1089 0 176 4 4 67 1141 1 4 7 3590 1 25 52 0 72 348 2283 1 1886 1 150 115 9 18 96 20 94 2 34 1 1 1047 2 399 4 165 1 96 6690 587 1890 17 28396 29 0 0 0 0 0 1 0
"RPS4Y2" 0 5 0 0 0 0 0 0 0 4 0 4 4 2 0 0 0 2 3 0 0 0 0 0 2 0 3 0 3 5 0 0 0 3 3 3 3 0 0 2 3 0 4 0 1 4 4 4 2 0 4 3 0 1 2 2 0 0 5 0 3 3 0 2 4 0 3 0 2 4 0 5 0 4 5 6 2 3 3 1 4 0 0 0 2 0 1 0 3 3 0 2 0 1 2 1 1 1 1 1
"LHFPL3" 548 870 161 5 6 308 609 248 734 108 508 950 6 300 22 453 637 1060 337 247 4 95 21 309 324 1231 1596 1823 6 1767 279 353 554 1400 101 232 28 2 1264 267 370 1275 590 66 2159 3562 1561 10 1095 1215 1343 714 15 2257 454 2608 3 341 978 3197 41 3039 1130 324 83 67 213 540 501 262 627 1141 95 332 679 201 983 912 94 63 2 45 1963 1346 898 4 325 235 118 182 1617 591 2796 0 0 0 0 0 0 0
"EIF1AY" 0 4 0 0 0 0 0 2 0 0 0 3 3 2 0 0 0 2 2 0 0 0 0 0 1 0 2 0 3 2 0 0 0 2 2 1 2 0 0 2 1 0 2 0 2 3 2 3 3 0 3 2 1 2 2 2 0 0 4 0 4 3 0 2 2 0 2 0 1 3 0 2 0 2 3 2 3 6 2 3 3 0 0 0 2 0 2 0 3 2 0 3 0 103 35 19 24 36 16 36
"GALR1" 227 133 6 93 307 45 60 5 84 12 49 358 2 23 63 151 153 40 16 11 1 10 2 6 176 3389 428 424 20 9 19 19 346 89 1 47 2 1 654 126 114 1058 367 1668 1 358 561 2 62 211 13 171 1 55 24 445 9 35 65 1 565 8 1 159 2 5 70 2 89 43 70 1 2 19 1355 16 257 26 3 9 1 3 177 18 1 1 55 5 26 22 2 10 97 0 1 1 0 0 0 0
"LTF" 7 1 6 1 3 0 1 0 38 1 3 0 19 128 18 267 3 7 8 68 2 262 1 8 148 5 113 6 60 0 14 54 16 439 97 174 556 0 0 2 368 97 38 183 36 3 0 1 47 57 6 83 71 496 46 320 24 77 247 13 47 199 6 95 201 0 8 967 349 1 30 1 47 1 8 78 173 13 91 95 0 80 35 107 4 3 3 1 5 1 123 4 51 1 1 1 0 0 1 0
"CXCL14" 104 29 163 41 2 3 0 2 38 22 94 1 487 68 3 51 6 9 8 8 258 70 13 8 56 0 69 5 380 0 48 187 411 123 7 28 302 64 0 323 1 67 500 5 3 2 0 40 26 165 10 101 7 835 33 89 54 546 71 43 128 5 1 7 140 46 39 83 126 7 14 4 110 6 620 17 12 2 93 178 17 271 66 97 17 300 4 52 27 18 2 184 10 0 0 0 0 1 0 0
"FCGR3A" 1523 367 1753 203 559 281 350 97 396 252 352 621 2339 1977 728 1821 352 1681 1635 777 1753 1073 477 192 10709 379 1857 3168 4469 1375 2375 4700 8585 8110 3514 1357 6942 3257 1310 3943 101 2910 3400 1412 605 5321 3730 4486 3328 4256 2612 11773 4099 5406 2653 4523 4269 20927 1132 2041 1507 3111 1247 665 1094 226 452 4887 3417 862 1390 706 547 1974 3939 773 1672 866 1189 1005 466 3590 960 4382 510 6817 845 531 397 2817 1986 2764 752 1 1 1 1 1 1 1
"DCX" 3 205 57 32 7 315 131 370 1 393 176 347 2 66 91 4 104 208 175 38 2 4 6 13 16 568 112 1383 6 212 32 148 4 14 90 146 4 35 393 5 170 195 4 343 82 351 1054 7 85 547 87 2 14 12 31 373 5 1 38 1 6 982 571 69 5 25 140 10 1 43 174 695 21 106 2 33 1 312 2 13 28 1 40 2 208 6 19 15 23 47 152 26 232 1 1 1 1 1 1 1
"CDH18" 3 1 0 0 0 0 5 0 0 2 0 0 0 0 0 0 0 1 4 0 1 0 3 25 0 2 0 1 0 3 1 5 0 2 0 0 0 0 0 2 0 0 0 0 1 5 0 0 2 0 1 0 0 1 13 0 0 0 9 0 0 1 0 0 1 58 0 2 0 0 0 0 0 2 0 1 0 0 0 0 12 0 1 0 0 0 1 26 2 9 1 57 0 1 1 2 2 2 4 1
